0.0000000000,0.0000000000,0.9250000000,0.9996793631,0.0001190000,0.0253210092,-0.0000580000,0.0191630000,-0.0447220000,-0.4608020000,0.8387930000,-0.4294630000,-0.0170810000,-0.0161240000,0.0404540000,-0.4382010000,0.8344250000,-0.4474780000,0.0138080000,0.0000000000,0.1255220000,-0.0010110000,-0.0006600000,-0.3801320000,0.0000850000,-0.0003570000,0.0006300000,0.1244480000,0.0026890000,0.0006380000,-0.3866900000,-0.0000840000,0.0003460000,0.0006550000
-0.0000450000,-0.0000230000,0.9250040000,0.9996793368,0.0001320000,0.0253220085,-0.0000440000,0.0191690000,-0.0447480000,-0.4608740000,0.8387640000,-0.4293660000,-0.0171210000,-0.0161250000,0.0404260000,-0.4382850000,0.8344380000,-0.4474080000,0.0137810000,0.0000000000,0.1255080000,-0.0010300000,-0.0006600000,-0.3801790000,0.0000850000,-0.0003570000,0.0006300000,0.1244540000,0.0026810000,0.0006370000,-0.3866650000,-0.0000840000,0.0003460000,0.0006540000
-0.0000890000,-0.0000490000,0.9250100000,0.9996792596,0.0001440000,0.0253250066,-0.0000360000,0.0191840000,-0.0447620000,-0.4609330000,0.8387160000,-0.4292650000,-0.0171570000,-0.0161150000,0.0404110000,-0.4383650000,0.8344360000,-0.4473290000,0.0137520000,0.0000000000,0.1254970000,-0.0010470000,-0.0006600000,-0.3802250000,0.0000850000,-0.0003570000,0.0006300000,0.1244580000,0.0026750000,0.0006360000,-0.3866410000,-0.0000840000,0.0003470000,0.0006540000
-0.0001370000,-0.0000780000,0.9250170000,0.9996791826,0.0001520000,0.0253280046,-0.0000310000,0.0192100000,-0.0447700000,-0.4609990000,0.8386610000,-0.4291550000,-0.0172000000,-0.0160940000,0.0404030000,-0.4384470000,0.8344180000,-0.4472340000,0.0137070000,0.0000000000,0.1254860000,-0.0010630000,-0.0006600000,-0.3802740000,0.0000850000,-0.0003560000,0.0006310000,0.1244630000,0.0026710000,0.0006360000,-0.3866150000,-0.0000840000,0.0003480000,0.0006530000
-0.0001790000,-0.0001030000,0.9250240000,0.9996791057,0.0001590000,0.0253310027,-0.0000270000,0.0192340000,-0.0447760000,-0.4610550000,0.8386160000,-0.4290620000,-0.0172310000,-0.0160760000,0.0403980000,-0.4385190000,0.8344060000,-0.4471540000,0.0136820000,0.0000000000,0.1254760000,-0.0010800000,-0.0006600000,-0.3803180000,0.0000850000,-0.0003550000,0.0006310000,0.1244680000,0.0026640000,0.0006340000,-0.3865910000,-0.0000840000,0.0003480000,0.0006530000
-0.0002150000,-0.0001270000,0.9250280000,0.9996790797,0.0001630000,0.0253320020,-0.0000260000,0.0192620000,-0.0447770000,-0.4611080000,0.8385910000,-0.4289860000,-0.0172700000,-0.0160530000,0.0403950000,-0.4385820000,0.8344000000,-0.4470860000,0.0136500000,0.0000000000,0.1254680000,-0.0010940000,-0.0006600000,-0.3803570000,0.0000850000,-0.0003550000,0.0006310000,0.1244740000,0.0026600000,0.0006330000,-0.3865690000,-0.0000840000,0.0003480000,0.0006530000
-0.0002540000,-0.0001530000,0.9250320000,0.9996790794,0.0001650000,0.0253320020,-0.0000240000,0.0192970000,-0.0447810000,-0.4611620000,0.8385670000,-0.4289090000,-0.0173140000,-0.0160240000,0.0403920000,-0.4386460000,0.8343970000,-0.4470180000,0.0136250000,0.0000000000,0.1254590000,-0.0011110000,-0.0006600000,-0.3803990000,0.0000850000,-0.0003550000,0.0006320000,0.1244830000,0.0026540000,0.0006320000,-0.3865440000,-0.0000840000,0.0003480000,0.0006530000
-0.0002940000,-0.0001850000,0.9250340000,0.9996791298,0.0001670000,0.0253300033,-0.0000220000,0.0193410000,-0.0447820000,-0.4612250000,0.8385600000,-0.4288380000,-0.0173580000,-0.0159830000,0.0403910000,-0.4387180000,0.8344090000,-0.4469510000,0.0135730000,0.0000000000,0.1254480000,-0.0011290000,-0.0006610000,-0.3804470000,0.0000850000,-0.0003550000,0.0006320000,0.1244930000,0.0026470000,0.0006300000,-0.3865170000,-0.0000840000,0.0003480000,0.0006530000
-0.0003310000,-0.0002120000,0.9250320000,0.9996791803,0.0001680000,0.0253280046,-0.0000190000,0.0193790000,-0.0447850000,-0.4613000000,0.8385890000,-0.4287890000,-0.0173980000,-0.0159480000,0.0403870000,-0.4387980000,0.8344510000,-0.4469070000,0.0135340000,0.0000000000,0.1254360000,-0.0011470000,-0.0006620000,-0.3804900000,0.0000850000,-0.0003550000,0.0006320000,0.1245030000,0.0026390000,0.0006280000,-0.3864940000,-0.0000840000,0.0003480000,0.0006530000
-0.0003630000,-0.0002390000,0.9250280000,0.9996792565,0.0001670000,0.0253250065,-0.0000170000,0.0194200000,-0.0447860000,-0.4613740000,0.8386320000,-0.4287570000,-0.0174370000,-0.0159130000,0.0403850000,-0.4388780000,0.8345060000,-0.4468780000,0.0135090000,0.0000000000,0.1254250000,-0.0011620000,-0.0006620000,-0.3805290000,0.0000850000,-0.0003550000,0.0006320000,0.1245120000,0.0026330000,0.0006270000,-0.3864720000,-0.0000840000,0.0003480000,0.0006530000
